Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
31,218,7,3,1,416,2,100,4,2,4,6929,12241,4,11,3,2,80,1,10,3,2,8,7,7,7,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False
46,638,1,3,1,124,3,40,2,3,1,10673,3142,2,13,3,3,80,1,21,5,2,10,9,9,5,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
33,117,9,3,1,1238,1,60,3,1,4,2781,6311,0,13,3,2,80,1,15,5,3,14,10,4,10,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
38,702,1,4,1,230,1,59,2,2,4,8686,12930,4,22,4,3,80,0,12,2,4,8,3,0,7,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
36,1396,5,2,1,304,4,62,3,2,2,5914,9945,8,16,3,4,80,0,16,3,4,13,11,3,7,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
46,991,1,2,1,1314,4,44,3,1,1,3423,22957,6,12,3,3,80,0,10,3,4,7,6,5,7,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
41,447,5,3,1,1814,2,85,4,2,2,6870,15530,3,12,3,1,80,0,11,3,1,3,2,1,2,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
20,654,21,3,1,1226,3,43,4,1,4,2678,5050,1,17,3,4,80,0,2,2,3,2,1,2,2,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
31,1003,5,3,1,1749,1,51,3,2,3,8346,20943,1,19,3,3,80,1,6,3,3,5,2,0,2,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False
31,976,3,2,1,1948,3,48,3,1,1,3065,3995,1,13,3,4,80,1,4,3,4,4,2,2,3,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True
46,1402,2,3,1,1204,3,69,3,4,1,17048,24097,8,23,4,1,80,0,28,2,3,26,15,15,9,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
53,1070,3,4,1,386,3,45,3,4,3,17584,21016,3,16,3,4,80,3,21,5,2,5,3,1,3,False,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True
24,350,21,2,1,1551,3,57,2,1,1,2296,10036,0,14,3,2,80,3,2,3,3,1,1,0,0,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False
52,1325,11,4,1,813,4,82,3,2,3,3149,21821,8,20,4,2,80,1,9,3,3,5,2,1,4,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
36,1480,3,2,1,238,4,30,3,1,2,2088,15062,4,12,3,3,80,0,13,3,2,8,7,7,2,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False
29,1378,13,2,1,2053,4,46,2,2,2,4025,23679,4,13,3,1,80,1,10,2,3,4,3,0,3,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True
28,1300,17,2,1,536,3,79,3,2,1,4558,13535,1,12,3,4,80,1,10,2,3,10,0,1,8,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False
42,300,2,3,1,2031,1,56,3,5,3,18880,17312,5,11,3,1,80,0,24,2,2,22,6,4,14,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
21,501,5,1,1,2021,3,58,3,1,1,2380,25479,1,11,3,4,80,0,2,6,3,2,2,1,2,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True
52,723,8,4,1,433,3,85,2,2,2,4941,17747,2,15,3,1,80,0,11,3,2,8,2,7,7,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
22,604,6,1,1,675,1,69,3,1,3,2773,12145,0,20,4,4,80,0,3,3,3,2,2,2,2,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
34,697,3,4,1,1115,3,40,2,1,4,2979,22478,3,17,3,4,80,3,6,2,3,0,0,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
36,329,16,4,1,1436,3,98,2,2,1,5647,13494,4,13,3,1,80,2,11,3,2,3,2,0,2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
33,1277,15,1,1,582,2,56,3,3,3,13610,24619,7,12,3,4,80,0,15,2,4,7,6,7,7,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True
22,1230,1,2,1,872,4,33,2,2,4,4775,19146,6,22,4,1,80,2,4,2,1,2,2,2,2,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
56,718,4,4,1,1191,4,92,3,5,1,19943,18575,4,13,3,4,80,1,28,2,3,5,2,4,2,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
29,1329,7,3,1,1260,3,82,3,2,4,6623,4204,1,11,3,2,80,2,6,2,3,6,0,1,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
36,884,1,4,1,1585,2,73,3,2,3,6815,21447,6,13,3,1,80,0,15,5,3,1,0,0,0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
34,1239,13,4,1,1951,4,39,3,3,3,8628,22914,1,18,3,3,80,1,9,2,2,8,7,1,1,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
34,665,6,4,1,138,1,41,3,2,3,4809,12482,1,14,3,3,80,0,16,3,3,16,13,2,10,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
50,989,7,2,1,80,2,43,2,5,3,18740,16701,5,12,3,4,80,1,29,2,2,27,3,13,8,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
38,903,2,3,1,1573,3,81,3,2,2,4855,7653,4,11,3,1,80,2,7,2,3,5,2,1,4,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
30,740,1,3,1,1562,2,64,2,2,1,9714,5323,1,11,3,4,80,1,10,4,3,10,8,6,7,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
44,1099,5,3,1,1267,2,88,3,5,2,18213,8751,7,11,3,3,80,1,26,5,3,22,9,3,10,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
48,365,4,5,1,1644,3,89,2,4,4,15202,5602,2,25,4,2,80,1,23,3,3,2,2,2,2,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False
58,1145,9,3,1,214,2,75,2,1,2,3346,11873,4,20,4,2,80,1,9,3,2,1,0,0,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True
29,746,2,3,1,469,4,61,3,2,3,4649,16928,1,14,3,1,80,1,4,3,2,4,3,0,2,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
34,258,21,4,1,621,4,74,4,2,4,5337,19921,1,12,3,4,80,0,10,3,3,10,7,5,7,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
27,1277,8,5,1,1094,1,87,1,1,3,4621,5869,1,19,3,4,80,3,3,4,3,3,2,1,2,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
42,462,14,2,1,936,3,68,2,2,3,6244,7824,7,17,3,1,80,0,10,6,3,5,4,0,3,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
41,1200,22,3,1,1392,4,75,3,2,4,5467,13953,3,14,3,1,80,2,12,4,2,6,2,3,3,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
37,1189,3,3,1,152,3,87,3,3,4,7428,14506,2,12,3,1,80,0,12,3,3,5,3,1,3,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
25,1219,4,1,1,1106,4,32,3,1,4,3691,4605,1,15,3,2,80,1,7,3,4,7,7,5,6,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True
33,1146,25,3,1,1220,2,82,3,2,3,4539,4905,1,12,3,1,80,1,10,3,2,10,7,0,1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
32,1093,6,4,1,125,2,87,3,2,3,5010,24301,1,16,3,1,80,0,12,0,3,11,8,5,7,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
36,852,5,4,1,51,2,82,2,1,1,3419,13072,9,14,3,4,80,1,6,3,4,1,1,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True
26,1449,16,4,1,394,1,45,3,1,2,2373,14180,2,13,3,4,80,1,5,2,3,3,2,0,2,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True
40,884,15,3,1,1628,1,80,2,3,3,10435,25800,1,13,3,4,80,2,18,2,3,18,15,14,12,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
39,945,22,3,1,1043,4,82,3,3,1,10880,5083,1,13,3,3,80,0,21,2,3,21,6,2,8,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True
48,1262,1,4,1,1116,1,35,4,4,4,16885,16154,2,22,4,3,80,0,27,3,2,5,4,2,1,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False
32,300,1,3,1,882,4,61,3,1,4,2314,9148,0,12,3,2,80,1,4,2,3,3,0,0,2,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
43,930,6,3,1,1402,1,73,2,2,3,4081,20003,1,14,3,1,80,0,20,3,1,20,7,1,8,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True
39,203,2,3,1,1127,1,84,3,4,4,12169,13547,7,11,3,4,80,3,21,4,3,18,7,11,5,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
20,871,6,3,1,137,4,66,2,1,4,2926,19783,1,18,3,2,80,0,1,5,3,1,0,1,0,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True
39,895,5,3,1,42,4,56,3,2,4,2086,3335,3,14,3,3,80,1,19,6,4,1,0,0,0,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False
34,1320,20,3,1,1265,3,89,4,1,3,2585,21643,0,17,3,4,80,0,2,5,2,1,0,0,0,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
38,240,2,4,1,803,1,75,4,2,1,5980,26085,6,12,3,4,80,0,17,2,3,15,7,4,12,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
28,760,2,4,1,846,2,81,3,2,2,4779,3698,1,20,4,1,80,0,8,2,3,8,7,7,5,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
28,1404,17,3,1,1960,3,32,2,1,4,2367,18779,5,12,3,1,80,1,6,2,2,4,1,0,3,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False
45,1050,9,4,1,1117,2,65,2,2,3,5593,17970,1,13,3,4,80,1,15,2,3,15,10,4,12,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
26,1283,1,3,1,956,3,52,2,2,1,4294,11148,1,12,3,2,80,0,7,2,3,7,7,0,7,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
36,429,2,4,1,1294,3,53,3,2,2,5410,2323,9,11,3,4,80,0,18,2,3,16,14,5,12,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
48,817,2,1,1,712,2,56,4,2,2,8120,18597,3,12,3,4,80,0,12,3,3,2,2,2,2,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
43,1473,8,4,1,526,3,74,3,2,3,4522,2227,4,14,3,4,80,0,8,3,3,5,2,0,2,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
31,1079,10,2,1,1912,3,86,3,2,4,6583,20115,2,11,3,4,80,1,8,2,3,5,2,1,4,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
34,735,22,4,1,1932,3,86,2,2,4,5747,26496,1,15,3,2,80,0,16,3,3,15,10,6,11,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True
47,465,1,3,1,1438,1,74,3,1,4,3420,10205,7,12,3,3,80,1,17,2,2,6,5,1,2,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False
34,285,29,3,1,1377,2,86,3,2,3,5429,17491,4,13,3,1,80,2,10,1,3,8,7,7,7,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
35,890,2,3,1,49,4,97,3,1,4,2014,9687,1,13,3,1,80,0,2,3,3,2,2,2,2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
38,1084,29,3,1,273,4,54,3,2,4,6261,4185,3,18,3,1,80,1,9,3,1,7,7,1,7,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False
23,373,1,2,1,1270,4,47,3,1,3,1223,16901,1,22,4,4,80,1,1,2,3,1,0,0,1,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
44,920,24,3,1,392,4,43,3,1,3,3161,19920,3,22,4,4,80,1,19,0,1,1,0,0,0,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
29,468,28,4,1,2054,4,73,2,1,1,3785,8489,1,14,3,2,80,0,5,3,1,5,4,0,4,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
34,971,1,3,1,1535,4,64,2,3,3,7083,12288,1,14,3,4,80,0,10,3,3,10,9,8,6,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True
36,1105,24,4,1,419,2,47,3,2,2,5674,6927,7,15,3,3,80,1,11,3,3,9,8,0,8,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
55,177,8,1,1,1278,4,37,2,4,2,13577,25592,1,15,3,4,80,1,34,3,3,33,9,15,0,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
43,589,14,2,1,843,2,94,3,4,1,17159,5200,6,24,4,3,80,1,22,3,3,4,1,1,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
32,1316,2,2,1,1235,4,38,3,2,3,4998,2338,4,14,3,4,80,0,10,2,3,8,7,0,7,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
32,1318,10,4,1,1853,4,79,3,2,4,4648,26075,8,13,3,3,80,0,4,2,4,0,0,0,0,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
25,883,26,1,1,781,3,32,3,2,4,6180,22807,1,23,4,2,80,0,6,5,2,6,5,1,4,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
37,674,13,3,1,1543,1,47,3,2,4,4285,3031,1,17,3,1,80,0,10,2,3,10,8,3,7,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
45,954,2,2,1,783,2,46,1,2,3,6632,12388,0,13,3,1,80,0,9,3,3,8,7,3,1,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False
33,1198,1,4,1,939,3,100,2,1,1,2799,3339,3,11,3,2,80,0,6,1,3,3,2,0,2,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True
31,471,4,3,1,1916,1,62,4,1,3,3978,16031,8,12,3,2,80,1,4,0,2,2,2,2,2,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
26,775,29,2,1,618,1,45,3,2,3,4306,4267,5,12,3,1,80,2,8,5,3,0,0,0,0,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
46,849,26,2,1,1801,2,98,2,2,2,7991,25166,8,15,3,3,80,0,6,3,3,2,2,2,2,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
29,408,23,1,1,1165,4,45,2,3,1,7336,11162,1,13,3,1,80,1,11,3,1,11,8,3,10,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
21,391,15,2,1,30,3,96,3,1,4,1232,19281,1,14,3,4,80,0,0,6,3,0,0,0,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
52,266,2,1,1,1038,1,57,1,5,4,19845,25846,1,15,3,4,80,1,33,3,3,32,14,6,9,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
37,1017,1,2,1,340,3,83,2,1,1,3920,18697,2,14,3,1,80,1,17,2,2,3,1,0,2,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
39,867,9,2,1,1936,1,87,3,2,1,5151,12315,1,25,4,4,80,1,10,3,3,10,0,7,9,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
27,1291,11,3,1,1364,3,98,4,1,4,2534,6527,8,14,3,2,80,1,5,4,3,1,0,0,0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
36,1425,14,1,1,924,3,68,3,2,4,6586,4821,0,17,3,1,80,1,17,2,2,16,8,4,11,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
49,470,20,4,1,170,3,96,3,2,1,6567,5549,1,14,3,3,80,0,16,2,2,15,11,5,11,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
45,248,23,2,1,1002,4,42,3,2,1,3633,14039,1,15,3,3,80,1,9,2,3,9,8,0,8,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
45,1005,28,2,1,1719,4,48,2,4,2,16704,17119,1,11,3,3,80,0,21,2,3,21,6,8,6,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
34,878,10,4,1,277,4,43,3,1,3,3815,5972,1,17,3,4,80,1,5,4,4,5,3,2,0,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True
35,219,16,2,1,1886,4,44,2,2,2,4788,25388,0,11,3,4,80,0,4,2,3,3,2,0,2,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True
33,147,2,3,1,1207,2,99,3,1,3,3600,8429,1,13,3,4,80,1,5,2,3,5,4,1,4,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
32,1045,4,4,1,291,4,32,1,3,4,10400,25812,1,11,3,3,80,0,14,2,2,14,8,9,8,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
30,501,27,5,1,747,3,99,3,2,4,5304,25275,7,23,4,4,80,1,10,2,2,8,7,7,7,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
34,1442,9,3,1,717,4,46,2,3,2,8621,17654,1,14,3,2,80,0,9,3,4,8,7,7,7,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
23,541,2,1,1,113,3,62,3,1,1,2322,9518,3,13,3,3,80,1,3,3,3,0,0,0,0,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False
51,632,21,4,1,120,3,71,3,2,4,5441,8423,0,22,4,4,80,0,11,2,1,10,7,1,0,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True
28,791,1,4,1,1286,4,44,3,1,3,2154,6842,0,11,3,3,80,0,5,2,2,4,2,0,2,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True
31,616,12,3,1,961,4,41,3,2,4,5855,17369,0,11,3,3,80,2,10,2,1,9,7,8,5,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
27,608,1,2,1,725,3,68,3,3,1,7412,6009,1,11,3,4,80,0,9,3,3,9,7,0,7,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
28,1169,8,2,1,869,2,63,2,1,4,4936,23965,1,13,3,4,80,1,6,6,3,5,1,0,4,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
45,589,2,4,1,1845,3,67,3,2,3,5154,19665,4,22,4,2,80,2,10,3,4,8,7,5,7,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
39,792,1,3,1,1737,4,77,3,2,4,6472,8989,1,15,3,4,80,1,9,2,3,9,8,5,8,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
42,1271,2,1,1,875,2,35,3,1,4,2515,9068,5,14,3,4,80,0,8,2,3,2,1,2,2,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True
33,508,10,3,1,446,2,46,2,2,4,4682,4317,3,14,3,3,80,0,9,6,2,7,7,0,1,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
36,557,3,3,1,2024,1,94,2,3,4,7644,12695,0,19,3,3,80,2,10,2,3,9,7,3,4,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
38,723,2,4,1,1835,2,77,1,2,4,5405,4244,2,20,4,1,80,2,20,4,2,4,2,0,3,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
59,715,2,3,1,1032,3,69,2,4,4,13726,21829,3,13,3,1,80,0,30,4,3,5,3,4,3,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True
29,1247,20,2,1,349,4,45,3,2,4,6931,10732,2,14,3,4,80,1,10,2,3,3,2,0,2,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
